Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1999-03-06,Sat,5873.45358427,2219.35018772,1605.67478431,911.289277247,368.741052457,394.913979947,313.125795509,302.121998245,248.564897579,145.006960821
1999-03-07,Sun,5879.35519558,2220.95708177,1606.67556814,911.742557526,368.832706105,394.949607959,313.136731587,302.12797365,248.571482716,145.007928585
1999-03-08,Mon,5885.12132255,2222.56447608,1607.67590611,912.196265633,368.924369934,394.985246416,313.147676085,302.133957616,248.578076217,145.008904911
1999-03-09,Tue,5890.74104099,2224.17237218,1608.67579922,912.650406366,369.016043472,395.020894866,313.158628552,302.139949691,248.584677632,145.009889348
1999-03-10,Wed,5896.20658549,2225.7807703,1609.67524558,913.10498343,369.107725153,395.056551766,313.169587446,302.145948333,248.591285419,145.010880352
1999-03-11,Thu,5901.51315006,2227.38966949,1610.67424047,913.559999569,369.199412455,395.092214613,313.180550265,302.151951039,248.597897075,145.011875424
1999-03-12,Fri,5906.65859352,2228.99906772,1611.67277626,914.015456702,369.291102029,395.12788008,313.191513682,302.157954484,248.604509273,145.012871235
1999-03-13,Sat,5911.64308807,2230.60896208,1612.67084219,914.471356124,369.382789906,395.163544217,313.20247375,302.163954718,248.611118066,145.013863837
1999-03-14,Sun,5916.46874556,2232.21934922,1613.66842443,914.927698989,369.474471974,395.199202935,313.213426378,302.169947652,248.617719363,145.01484914
1999-03-15,Mon,5921.13924852,2233.83022628,1614.66550658,915.384487259,369.566144933,395.234852953,313.224368287,302.175930007,248.624309886,145.015823865
1999-03-16,Tue,5925.65950516,2235.4415922,1615.66207073,915.841725017,369.657807604,395.270493115,313.235298323,302.181900627,248.630888478,145.016786857
1999-03-17,Wed,5930.0353398,2237.0534488,1616.65809879,916.299419594,369.749462058,395.306125511,313.246218575,302.187861604,248.637457231,145.017740206
1999-03-18,Thu,5934.27322398,2238.66580089,1617.65357345,916.757581678,369.841113728,395.341755597,313.2571345,302.193818392,248.6440216,145.018689367
1999-03-19,Fri,5938.38004922,2240.27865489,1618.64847826,917.216223975,369.932770063,395.37739084,313.268053567,302.199778462,248.650589055,145.019641812
1999-03-20,Sat,5942.36294005,2241.89201635,1619.64279711,917.675358727,370.024438052,395.413038253,313.278982789,302.205748825,248.657166607,145.02060455
1999-03-21,Sun,5946.2291049,2243.5058874,1620.63651369,918.134995212,370.116121723,395.448701884,313.289926215,302.211733531,248.663758307,145.021581632
1999-03-22,Mon,5949.98572142,2245.12026542,1621.62961169,918.595138417,370.207820816,395.484381493,313.300883606,302.217732342,248.670363915,145.022572819
1999-03-23,Tue,5953.63985181,2246.7351434,1622.62207608,919.05578941,370.299531155,395.520072926,313.311850808,302.223741103,248.676979277,145.023573957
1999-03-24,Wed,5957.19838305,2248.35051158,1623.613895,919.516947021,370.391246327,395.555769792,313.322821431,302.229753423,248.683598003,145.024578655
1999-03-25,Thu,5960.66798678,2249.96635946,1624.60506146,919.978609872,370.482959719,395.591465497,313.333788883,302.235762711,248.690213501,145.025580321
1999-03-26,Fri,5964.05509395,2251.58267741,1625.59557428,920.440777957,370.57466609,395.627154823,313.344747945,302.241763748,248.696820552,145.026573736
1999-03-27,Sat,5967.3658808,2253.1994574,1626.58543815,920.903453463,370.666362398,395.662834748,313.355695597,302.247753514,248.703416135,145.027555881
1999-03-28,Sun,5970.60626359,2254.81669327,1627.57466304,921.366640986,370.758048012,395.698504662,313.36663123,302.253731399,248.709999643,145.028526146
1999-03-29,Mon,5973.7818998,2256.43438046,1628.56326327,921.83034733,370.849724516,395.734166172,313.377556451,302.25969901,248.71657268,145.029486137
1999-03-30,Tue,5976.89819437,2258.05251551,1629.55125623,922.294581,370.941395198,395.769822586,313.388474568,302.265659657,248.723138557,145.030439164
1999-03-31,Wed,5979.96030936,2259.6710953,1630.53866102,922.759351425,371.033064278,395.805478143,313.399389824,302.27161758,248.729701514,145.031389467
1999-04-01,Thu,5982.97317617,2261.2901161,1631.52549687,923.224668085,371.124736029,395.84113714,313.410306513,302.277577076,248.736265848,145.032341343
1999-04-02,Fri,5985.94150971,2262.9095729,1632.511782,923.690539773,371.216414045,395.876803191,313.421228252,302.28354176,248.742835173,145.033298407
1999-04-03,Sat,5988.86982397,2264.52945888,1633.49753272,924.156974158,371.308100801,395.912478792,313.432157537,302.289514128,248.749411986,145.034263156
1999-04-04,Sun,5991.76244847,2266.1497653,1634.482763,924.623977611,371.399797479,395.948165147,313.443095573,302.295495385,248.755997493,145.035236793
1999-04-05,Mon,5994.62354516,2267.77048143,1635.46748427,925.091555178,371.491503947,395.983862144,313.454042249,302.30148542,248.762591581,145.036219209
1999-04-06,Tue,5997.45712545,2269.39159466,1636.45170536,925.559710657,371.583218827,396.019568427,313.46499621,302.307482878,248.769192896,145.037209047
1999-04-07,Wed,6000.26706717,2271.01309061,1637.43543262,926.02844679,371.674939696,396.055281592,313.475955052,302.313485356,248.775799035,145.038203905
1999-04-08,Thu,6003.05713145,2272.63495355,1638.4186701,926.497765579,371.766663396,396.090998505,313.486915642,302.319489719,248.782406862,145.039200648
1999-04-09,Fri,6005.83097924,2274.25716666,1639.40141966,926.967668626,371.858386379,396.126715638,313.497874452,302.325492441,248.789012851,145.040195749
1999-04-10,Sat,6008.59218749,2275.87971237,1640.38368092,927.43815744,371.950105011,396.162429377,313.508827869,302.331489908,248.79561339,145.041185595
1999-04-11,Sun,6011.34426513,2277.50257281,1641.36545118,927.909233874,372.04181601,396.198136462,313.519772636,302.337478861,248.802205218,145.042166928
1999-04-12,Mon,6014.09066904,2279.12573064,1642.34672559,928.380900959,372.133517285,396.233834822,313.53070668,302.34345723,248.808786265,145.043137675
1999-04-13,Tue,6016.83482013,2280.74917027,1643.32749775,928.853164108,372.225209132,396.269524776,313.541630321,302.349425334,248.81535685,145.044098156
1999-04-14,Wed,6019.58011898,2282.37287881,1644.30776017,929.326032074,372.316895197,396.30520999,313.552547227,302.35538684,248.82192064,145.045052038
1999-04-15,Thu,6022.32995995,2283.99684588,1645.2875042,929.799516729,372.408582259,396.340897263,313.563464197,302.361348547,248.828484436,145.046006122
1999-04-16,Fri,6025.08774357,2285.62106175,1646.26671904,930.27363118,372.50027834,396.37659464,313.574389276,302.367318501,248.83505628,145.046968451
1999-04-17,Sat,6027.85688766,2287.24551433,1647.24539049,930.748386784,372.591989721,396.412308422,313.585328766,302.373303003,248.841642476,145.047945328
1999-04-18,Sun,6030.64083876,2288.87018663,1648.22350066,931.223790543,372.683718345,396.448040572,313.596284632,302.379304018,248.848244988,145.048938716
1999-04-19,Mon,6033.44308537,2290.49505599,1649.20102952,931.699844336,372.775461037,396.483787938,313.60725372,302.385318394,248.854860662,145.049945464
1999-04-20,Tue,6036.26717326,2292.12009557,1650.17795796,932.176546314,372.867210913,396.519543656,313.618229168,302.391339265,248.861482636,145.050958707
1999-04-21,Wed,6039.11672215,2293.74527694,1651.15427134,932.653893586,372.958960054,396.555299828,313.62920308,302.397358738,248.868103014,145.05197055
1999-04-22,Thu,6041.99544212,2295.3705724,1652.12996192,933.131884706,373.050702003,396.591050019,313.640169019,302.403370375,248.874715358,145.052974556
1999-04-23,Fri,6044.9071488,2296.99595684,1653.10502961,933.610520988,373.142433075,396.626790564,313.651123323,302.409370512,248.881316006,145.053967062
1999-04-24,Sat,6047.85577728,2298.62140757,1654.07948128,934.089806606,373.234152459,396.662520674,313.662065201,302.415358363,248.887904168,145.05494728
1999-04-25,Sun,6050.84539508,2300.2469038,1655.05332935,934.569748038,373.325861663,396.698241877,313.672996184,302.421335454,248.894481374,145.055916737
1999-04-26,Mon,6053.88021472,2301.87242596,1656.02659036,935.050353366,373.417563815,396.733957324,313.683919422,302.427304937,248.901050774,145.056878584
1999-04-27,Tue,6056.96460567,2303.49795508,1656.9992837,935.531631596,373.50926298,396.7696711,313.694839001,302.433270898,248.907616454,145.057836908
1999-04-28,Wed,6060.10310551,2305.1234721,1657.97143033,936.013591928,373.600963437,396.805387504,313.705759221,302.439237636,248.914182714,145.058796009
