Timestamp,G.Moon/G.Sun
1928-01-26 12:00,49.311
1928-02-09 12:00,225.37
1928-02-24 12:00,44.448
1928-03-10 12:00,227.278
1928-03-24 12:00,39.755
1928-04-09 12:00,229.585
1928-04-23 12:00,48.776
1928-05-08 12:00,222.091
1928-05-22 12:00,43.828
1928-06-07 12:00,227.158
1928-06-21 12:00,51.333
1928-07-06 12:00,222.172
1928-07-20 12:00,45.133
1928-08-05 12:00,230.717
1928-08-19 12:00,49.849
1928-09-03 12:00,227.228
1928-09-17 12:00,41.971
1928-10-02 12:00,223.37
1928-10-17 12:00,44.396
1928-11-01 12:00,232.377
1928-11-16 12:00,46.537
1928-11-30 12:00,226.624
1928-12-16 12:00,49.441
1928-12-29 12:00,219.767
1929-01-14 12:00,42.094
1929-01-28 12:00,224.845
1929-02-13 12:00,47.92
1929-02-27 12:00,228.281
1929-03-14 12:00,42.718
1929-03-28 12:00,219.625
1929-04-13 12:00,51.675
1929-04-27 12:00,222.349
1929-05-12 12:00,47.926
1929-05-27 12:00,225.531
1929-06-10 12:00,44.137
1929-06-26 12:00,229.831
1929-07-09 12:00,39.914
1929-07-25 12:00,223.968
1929-08-08 12:00,47.827
1929-08-24 12:00,230.756
1929-09-06 12:00,41.311
1929-09-22 12:00,226.232
1929-10-06 12:00,45.339
1929-10-21 12:00,221.713
1929-11-05 12:00,47.713
1929-11-20 12:00,230.568
1929-12-05 12:00,49.384
1929-12-19 12:00,225.39
1930-01-03 12:00,40.381
1930-01-17 12:00,219.334
1930-02-02 12:00,43.078
1930-02-16 12:00,225.778
1930-03-04 12:00,47.494
1930-03-18 12:00,230.584
1930-04-02 12:00,41.773
1930-04-16 12:00,222.671
1930-05-02 12:00,50.275
1930-05-16 12:00,226.321
1930-05-31 12:00,47.004
1930-06-15 12:00,229.743
1930-06-29 12:00,43.904
1930-07-14 12:00,222.465
1930-07-28 12:00,40.352
1930-08-13 12:00,226.542
1930-08-27 12:00,49.219
1930-09-11 12:00,220.069
1930-09-25 12:00,43.163
1930-10-11 12:00,225.897
1930-10-25 12:00,48.058
1930-11-09 12:00,220.505
1930-11-23 12:00,39.521
1930-12-09 12:00,228.552
1930-12-23 12:00,41.623
1931-01-07 12:00,223.487
1931-01-22 12:00,43.091
1931-02-06 12:00,231.638
1931-02-21 12:00,44.972
1931-03-07 12:00,225.609
1931-03-23 12:00,48.376
1931-04-05 12:00,219.273
1931-04-21 12:00,42.16
1931-05-05 12:00,225.441
1931-05-21 12:00,49.781
1931-06-04 12:00,230.366
1931-06-19 12:00,46.302
1931-07-03 12:00,223.062
1931-07-18 12:00,43.165
1931-08-02 12:00,226.554
1931-08-16 12:00,39.762
1931-09-01 12:00,229.746
1931-09-15 12:00,49.301
1931-09-30 12:00,222.289
1931-10-14 12:00,43.904
1931-10-30 12:00,226.586
1931-11-13 12:00,50.008
1931-11-28 12:00,220.115
1931-12-12 12:00,41.833
1931-12-28 12:00,226.679
1932-01-11 12:00,44.459
1932-01-26 12:00,221.258
1932-02-10 12:00,46.045
1932-02-25 12:00,229.646
1932-03-11 12:00,47.764
1932-03-25 12:00,224.713
1932-04-09 12:00,39.647
1932-04-23 12:00,219.705
1932-05-09 12:00,43.958
1932-05-23 12:00,227.688
1932-06-08 12:00,50.3
1932-06-21 12:00,221.706
1932-07-07 12:00,46.049
1932-07-21 12:00,226.954
1932-08-05 12:00,42.329
1932-08-19 12:00,219.505
1932-09-04 12:00,52.247
1932-09-18 12:00,222.602
